"alguno"-determiner-es "certain"-determiner-fr
"certain"-determiner-fr "alguno"-determiner-es
"quelque"-determiner-fr "cierto"-determiner-es
"cierto"-determiner-es "quelque"-determiner-fr
"al mismo tiempo"-adverb-es "à la fois"-adverb-fr
"à la fois"-adverb-fr "al mismo tiempo"-adverb-es
"a la vez"-adverb-es "en même temps"-adverb-fr
"en même temps"-adverb-fr "a la vez"-adverb-es
"despacio"-adverb-es "lentement"-adverb-fr
"lentement"-adverb-fr "despacio"-adverb-es
"primeramente"-adverb-es "premièrement"-adverb-fr
"premièrement"-adverb-fr "primeramente"-adverb-es
"actualmente"-adverb-es "à présent"-adverb-fr
"à présent"-adverb-fr "actualmente"-adverb-es
"afuera"-adverb-es "en dehors"-adverb-fr
"afuera"-adverb-es "hors"-adverb-fr
"en dehors"-adverb-fr "afuera"-adverb-es
"hors"-adverb-fr "afuera"-adverb-es
"peut-être"-adverb-fr "posiblemente"-adverb-es
"posiblemente"-adverb-es "peut-être"-adverb-fr
"conjuntamente"-adverb-es "ensemble"-adverb-fr
"ensemble"-adverb-fr "conjuntamente"-adverb-es
"de même"-adverb-fr "así mismo"-adverb-es
"así mismo"-adverb-es "de même"-adverb-fr
"ainsi"-adverb-fr "tanto"-adverb-es
"tanto"-adverb-es "ainsi"-adverb-fr
"tanto"-adverb-es "aussi"-adverb-fr
"aussi"-adverb-fr "tanto"-adverb-es
"exactement"-adverb-fr "justo"-adverb-es
"justo"-adverb-es "exactement"-adverb-fr
"realmente"-adverb-es "vraiment"-adverb-fr
"realmente"-adverb-es "véritablement"-adverb-fr
"vraiment"-adverb-fr "realmente"-adverb-es
"vraiment"-adverb-fr "verdaderamente"-adverb-es
"véritablement"-adverb-fr "realmente"-adverb-es
"réellement"-adverb-fr "verdaderamente"-adverb-es
"verdaderamente"-adverb-es "vraiment"-adverb-fr
"verdaderamente"-adverb-es "réellement"-adverb-fr
"vite"-adverb-fr "deprisa"-adverb-es
"vite"-adverb-fr "pronto"-adverb-es
"deprisa"-adverb-es "vite"-adverb-fr
"deprisa"-adverb-es "promptement"-adverb-fr
"pronto"-adverb-es "vite"-adverb-fr
"pronto"-adverb-es "tôt"-adverb-fr
"promptement"-adverb-fr "deprisa"-adverb-es
"tôt"-adverb-fr "pronto"-adverb-es
"extrêmement"-adverb-fr "altamente"-adverb-es
"altamente"-adverb-es "extrêmement"-adverb-fr
"habituellement"-adverb-fr "normalmente"-adverb-es
"normalmente"-adverb-es "habituellement"-adverb-fr
"completamente"-adverb-es "entièrement"-adverb-fr
"entièrement"-adverb-fr "completamente"-adverb-es
"entièrement"-adverb-fr "por entero"-adverb-es
"complètement"-adverb-fr "enteramente"-adverb-es
"enteramente"-adverb-es "complètement"-adverb-fr
"por entero"-adverb-es "entièrement"-adverb-fr
"bastante"-adverb-es "suffisamment"-adverb-fr
"suffisamment"-adverb-fr "bastante"-adverb-es
"assez"-adverb-fr "suficientemente"-adverb-es
"suficientemente"-adverb-es "assez"-adverb-fr
"surtout"-adverb-fr "principalmente"-adverb-es
"surtout"-adverb-fr "especialmente"-adverb-es
"surtout"-adverb-fr "en especial"-adverb-es
"principalmente"-adverb-es "surtout"-adverb-fr
"especialmente"-adverb-es "surtout"-adverb-fr
"en especial"-adverb-es "surtout"-adverb-fr
"después"-adverb-es "tantôt"-adverb-fr
"después"-adverb-es "ensuite"-adverb-fr
"después"-adverb-es "par la suite"-adverb-fr
"tantôt"-adverb-fr "después"-adverb-es
"ensuite"-adverb-fr "después"-adverb-es
"par la suite"-adverb-fr "después"-adverb-es
"enseguida"-adverb-es "tout de suite"-adverb-fr
"enseguida"-adverb-es "immédiatement"-adverb-fr
"tout de suite"-adverb-fr "enseguida"-adverb-es
"tout de suite"-adverb-fr "inmediatamente"-adverb-es
"tout de suite"-adverb-fr "de inmediato"-adverb-es
"immédiatement"-adverb-fr "enseguida"-adverb-es
"inmediatamente"-adverb-es "tout de suite"-adverb-fr
"inmediatamente"-adverb-es "aussitôt"-adverb-fr
"de inmediato"-adverb-es "tout de suite"-adverb-fr
"aussitôt"-adverb-fr "inmediatamente"-adverb-es
"precisamente"-adverb-es "justement"-adverb-fr
"justement"-adverb-fr "precisamente"-adverb-es
"justement"-adverb-fr "certeramente"-adverb-es
"certeramente"-adverb-es "justement"-adverb-fr
"précisément"-adverb-fr "justamente"-adverb-es
"justamente"-adverb-es "précisément"-adverb-fr
"avant"-adverb-fr "previamente"-adverb-es
"avant"-adverb-fr "anteriormente"-adverb-es
"previamente"-adverb-es "avant"-adverb-fr
"previamente"-adverb-es "antérieurement"-adverb-fr
"anteriormente"-adverb-es "avant"-adverb-fr
"anteriormente"-adverb-es "préalablement"-adverb-fr
"antérieurement"-adverb-fr "previamente"-adverb-es
"préalablement"-adverb-fr "anteriormente"-adverb-es
"devant"-adverb-fr "al frente"-adverb-es
"al frente"-adverb-es "devant"-adverb-fr
"au-delà"-adverb-fr "allá"-adverb-es
"allá"-adverb-es "au-delà"-adverb-fr
"allá"-adverb-es "là"-adverb-fr
"là"-adverb-fr "allá"-adverb-es
"là-bas"-adverb-fr "allí"-adverb-es
"allí"-adverb-es "là-bas"-adverb-fr
"ci"-adverb-fr "acá"-adverb-es
"ci"-adverb-fr "ahí"-adverb-es
"acá"-adverb-es "ci"-adverb-fr
"ahí"-adverb-es "ci"-adverb-fr
"por otro lado"-adverb-es "par ailleurs"-adverb-fr
"par ailleurs"-adverb-fr "por otro lado"-adverb-es
"d'autre part"-adverb-fr "por otra parte"-adverb-es
"por otra parte"-adverb-es "d'autre part"-adverb-fr
"abajo"-adverb-es "bas"-adverb-fr
"abajo"-adverb-es "au-dessous"-adverb-fr
"abajo"-adverb-es "dessous"-adverb-fr
"abajo"-adverb-es "en dessous"-adverb-fr
"bas"-adverb-fr "abajo"-adverb-es
"au-dessous"-adverb-fr "abajo"-adverb-es
"dessous"-adverb-fr "abajo"-adverb-es
"en dessous"-adverb-fr "abajo"-adverb-es
"en bas"-adverb-fr "debajo"-adverb-es
"debajo"-adverb-es "en bas"-adverb-fr
"catégoriquement"-adverb-fr "rotundamente"-adverb-es
"rotundamente"-adverb-es "catégoriquement"-adverb-fr
"únicamente"-adverb-es "seulement"-adverb-fr
"seulement"-adverb-fr "únicamente"-adverb-es
"uniquement"-adverb-fr "sólo"-adverb-es
"uniquement"-adverb-fr "solamente"-adverb-es
"uniquement"-adverb-fr "solo"-adverb-es
"sólo"-adverb-es "uniquement"-adverb-fr
"solamente"-adverb-es "uniquement"-adverb-fr
"solo"-adverb-es "uniquement"-adverb-fr
"sencillamente"-adverb-es "bonnement"-adverb-fr
"bonnement"-adverb-fr "sencillamente"-adverb-es
"alrededor"-adverb-es "aux alentours"-adverb-fr
"aux alentours"-adverb-fr "alrededor"-adverb-es
"tuyo"-determiner-es "votre"-determiner-fr
"votre"-determiner-fr "tuyo"-determiner-es
"ton"-determiner-fr "vuestro"-determiner-es
"vuestro"-determiner-es "ton"-determiner-fr
"esto"-pronoun-es "cela"-pronoun-fr
"cela"-pronoun-fr "esto"-pronoun-es
"ce"-pronoun-fr "ello"-pronoun-es
"ce"-pronoun-fr "eso"-pronoun-es
"ello"-pronoun-es "ce"-pronoun-fr
"ello"-pronoun-es "ça"-pronoun-fr
"eso"-pronoun-es "ce"-pronoun-fr
"eso"-pronoun-es "ça"-pronoun-fr
"ça"-pronoun-fr "ello"-pronoun-es
"ça"-pronoun-fr "eso"-pronoun-es
"ça"-pronoun-fr "aquello"-pronoun-es
