"avoir l'habitude de"-verb-fr "tener la costumbre de"-verb-es
"tener la costumbre de"-verb-es "avoir l'habitude de"-verb-fr
"Mirko"-properNoun-fr "Mirko"-properNoun-es
"Mirko"-properNoun-es "Mirko"-properNoun-fr
"Etxepare"-properNoun-fr "Etxepare"-properNoun-es
"Etxepare"-properNoun-es "Etxepare"-properNoun-fr
"Biarritz"-properNoun-fr "Biarritz"-properNoun-es
"Biarritz"-properNoun-es "Biarritz"-properNoun-fr
"CDN"-noun-fr "CDN"-noun-es
"CDN"-noun-es "CDN"-noun-fr
"Anacabe"-properNoun-fr "Anacabe"-properNoun-es
"Anacabe"-properNoun-es "Anacabe"-properNoun-fr
"postsynchronisation"-noun-fr "postsincronización"-noun-es
"postsincronización"-noun-es "postsynchronisation"-noun-fr
"Hénin"-properNoun-fr "Hénin"-properNoun-es
"Hénin"-properNoun-es "Hénin"-properNoun-fr
"Pavlov"-properNoun-fr "Pavlov"-properNoun-es
"Pavlov"-properNoun-es "Pavlov"-properNoun-fr
"Ibn Zuhr"-properNoun-fr "Avenzoar"-properNoun-es
"Avenzoar"-properNoun-es "Ibn Zuhr"-properNoun-fr
"Saint-Loup"-properNoun-fr "Saint-Loup"-properNoun-es
"Saint-Loup"-properNoun-es "Saint-Loup"-properNoun-fr
"mettre à jour"-verb-fr "poner al día"-verb-es
"poner al día"-verb-es "mettre à jour"-verb-fr
"clic"-noun-fr "click"-noun-es
"click"-noun-es "clic"-noun-fr
"imposable"-adjective-fr "imponible"-adjective-es
"imponible"-adjective-es "imposable"-adjective-fr
"guerre froide"-noun-fr "guerra fría"-noun-es
"guerra fría"-noun-es "guerre froide"-noun-fr
"Corine"-properNoun-fr "Corine"-properNoun-es
"Corine"-properNoun-es "Corine"-properNoun-fr
"Euroligue"-properNoun-fr "Euroliga"-properNoun-es
"Euroliga"-properNoun-es "Euroligue"-properNoun-fr
"antigivrant"-adjective-fr "anticongelante"-adjective-es
"anticongelante"-adjective-es "antigivrant"-adjective-fr
"inter-provincial"-adjective-fr "interprovincial"-adjective-es
"interprovincial"-adjective-es "inter-provincial"-adjective-fr
"Agénor"-properNoun-fr "Agenor"-properNoun-es
"Agenor"-properNoun-es "Agénor"-properNoun-fr
"UMP"-properNoun-fr "UMP"-properNoun-es
"UMP"-properNoun-es "UMP"-properNoun-fr
"Smyrne"-properNoun-fr "Esmirna"-properNoun-es
"Esmirna"-properNoun-es "Smyrne"-properNoun-fr
"Vendée"-properNoun-fr "Vendée"-properNoun-es
"Vendée"-properNoun-es "Vendée"-properNoun-fr
"créditeur"-adjective-fr "acreedor"-adjective-es
"acreedor"-adjective-es "créditeur"-adjective-fr
"petite-fille"-noun-fr "nieta"-noun-es
"nieta"-noun-es "petite-fille"-noun-fr
