"cap"-determiner-oc "cap"-determiner-ca
"cap"-determiner-ca "cap"-determiner-oc
"progressivament"-adverb-oc "progressivament"-adverb-ca
"progressivament"-adverb-ca "progressivament"-adverb-oc
"concretament"-adverb-ca "concretament"-adverb-oc
"concretament"-adverb-oc "concretament"-adverb-ca
"positivament"-adverb-oc "positivament"-adverb-ca
"positivament"-adverb-ca "positivament"-adverb-oc
"majoritàriament"-adverb-oc "majoritàriament"-adverb-ca
"majoritàriament"-adverb-ca "majoritàriament"-adverb-oc
"successivament"-adverb-oc "successivament"-adverb-ca
"successivament"-adverb-ca "successivament"-adverb-oc
"quan"-adverb-ca "quan"-adverb-oc
"quan"-adverb-oc "quan"-adverb-ca
"conjuntament"-adverb-ca "conjonchament"-adverb-oc
"conjonchament"-adverb-oc "conjuntament"-adverb-ca
"exclusivament"-adverb-oc "exclusivament"-adverb-ca
"exclusivament"-adverb-ca "exclusivament"-adverb-oc
"ràpidament"-adverb-ca "lèstament"-adverb-oc
"lèstament"-adverb-oc "ràpidament"-adverb-ca
"lèstament"-adverb-oc "de pressa"-adverb-ca
"de pressa"-adverb-ca "lèstament"-adverb-oc
"puntualment"-adverb-ca "puntualament"-adverb-oc
"puntualament"-adverb-oc "puntualment"-adverb-ca
"de seguida"-adverb-ca "sulcòp"-adverb-oc
"de seguida"-adverb-ca "immediatament"-adverb-oc
"sulcòp"-adverb-oc "de seguida"-adverb-ca
"immediatament"-adverb-oc "de seguida"-adverb-ca
"immediatament"-adverb-oc "immediatament"-adverb-ca
"immediatament"-adverb-ca "immediatament"-adverb-oc
"molt"-adverb-oc "molt"-adverb-ca
"molt"-adverb-ca "molt"-adverb-oc
"clarament"-adverb-oc "clarament"-adverb-ca
"clarament"-adverb-ca "clarament"-adverb-oc
"ja"-adverb-ca "ja"-adverb-oc
"ja"-adverb-oc "ja"-adverb-ca
"aproximadament"-adverb-ca "a pauc près"-adverb-oc
"a pauc près"-adverb-oc "aproximadament"-adverb-ca
"encara"-adverb-ca "encara"-adverb-oc
"encara"-adverb-oc "encara"-adverb-ca
"qui"-pronoun-ca "qui"-pronoun-oc
"qui"-pronoun-oc "qui"-pronoun-ca
"ningú"-pronoun-ca "cap"-pronoun-oc
"cap"-pronoun-oc "ningú"-pronoun-ca
"mitjançant"-preposition-ca "pel mejan de"-preposition-oc
"pel mejan de"-preposition-oc "mitjançant"-preposition-ca
"pel mejan de"-preposition-oc "per mitjà de"-preposition-ca
"per mitjà de"-preposition-ca "pel mejan de"-preposition-oc
"envers"-preposition-oc "cap a"-preposition-ca
"envers"-preposition-oc "envers"-preposition-ca
"cap a"-preposition-ca "envers"-preposition-oc
"cap a"-preposition-ca "cap a"-preposition-oc
"envers"-preposition-ca "envers"-preposition-oc
"envers"-preposition-ca "cap a"-preposition-oc
"cap a"-preposition-oc "cap a"-preposition-ca
"cap a"-preposition-oc "envers"-preposition-ca
"sobre"-preposition-ca "sobre"-preposition-oc
"sobre"-preposition-oc "sobre"-preposition-ca
