"accidentalament"-adverb-oc "accidentalmente"-adverb-es
"accidentalmente"-adverb-es "accidentalament"-adverb-oc
"pasmens"-adverb-oc "sin embargo"-adverb-es
"sin embargo"-adverb-es "pasmens"-adverb-oc
"regularament"-adverb-oc "regularmente"-adverb-es
"regularament"-adverb-oc "por lo regular"-adverb-es
"regularmente"-adverb-es "regularament"-adverb-oc
"por lo regular"-adverb-es "regularament"-adverb-oc
"quién"-pronoun-es "qui"-pronoun-oc
"qui"-pronoun-oc "quién"-pronoun-es
"lo que"-noun-oc "el que"-noun-es
"el que"-noun-es "lo que"-noun-oc
"el que"-noun-es "lo qui"-relativePronoun-oc
"el que"-noun-es "lo qui"-noun-oc
"el que"-noun-es "lo que"-relativePronoun-oc
"el que"-noun-es "aquel qui"-relativePronoun-oc
"el que"-noun-es "aquel qui"-noun-oc
"el que"-noun-es "aquel que"-relativePronoun-oc
"lo qui"-relativePronoun-oc "el que"-noun-es
"lo qui"-noun-oc "el que"-noun-es
"lo que"-relativePronoun-oc "el que"-noun-es
"aquel qui"-relativePronoun-oc "el que"-noun-es
"aquel qui"-noun-oc "el que"-noun-es
"aquel que"-relativePronoun-oc "el que"-noun-es
"quant"-relativePronoun-oc "cuanto"-relativePronoun-es
"quant"-relativePronoun-oc "cuanto"-adverb-es
"cuanto"-relativePronoun-es "quant"-relativePronoun-oc
"cuanto"-relativePronoun-es "quant"-adverb-oc
"cuanto"-adverb-es "quant"-relativePronoun-oc
"cuanto"-adverb-es "quant"-adverb-oc
"quant"-adverb-oc "cuanto"-relativePronoun-es
"quant"-adverb-oc "cuanto"-adverb-es
"excepto"-preposition-es "a l'excepcion de"-preposition-oc
"a l'excepcion de"-preposition-oc "excepto"-preposition-es
"marron"-adjective-oc "marrón"-adjective-es
"marrón"-adjective-es "marron"-adjective-oc
"discriminatòri"-adjective-oc "discriminatorio"-adjective-es
"discriminatorio"-adjective-es "discriminatòri"-adjective-oc
"arriesgar"-verb-es "riscar"-verb-oc
"riscar"-verb-oc "arriesgar"-verb-es
"sentida"-noun-oc "olfato"-noun-es
"olfato"-noun-es "sentida"-noun-oc
"olfato"-noun-es "flaire"-noun-oc
"flaire"-noun-oc "olfato"-noun-es
"egemonia"-noun-oc "hegemonía"-noun-es
"hegemonía"-noun-es "egemonia"-noun-oc
"represalha"-noun-oc "represalia"-noun-es
"represalia"-noun-es "represalha"-noun-oc
"falsificacion"-noun-oc "falsificación"-noun-es
"falsificación"-noun-es "falsificacion"-noun-oc
"epidèmia"-noun-oc "epidemia"-noun-es
"epidemia"-noun-es "epidèmia"-noun-oc
"candèla"-noun-oc "vela"-noun-es
"vela"-noun-es "candèla"-noun-oc
"vela"-noun-es "candela"-noun-oc
"candela"-noun-oc "vela"-noun-es
"escuèlh"-noun-oc "arrecife"-noun-es
"arrecife"-noun-es "escuèlh"-noun-oc
"politician"-noun-oc "político"-noun-es
"político"-noun-es "politician"-noun-oc
"embrion"-noun-oc "embrión"-noun-es
"embrión"-noun-es "embrion"-noun-oc
"granit"-noun-oc "granito"-noun-es
"granito"-noun-es "granit"-noun-oc
"perimètre"-noun-oc "perímetro"-noun-es
"perímetro"-noun-es "perimètre"-noun-oc
"sobrenombre"-noun-es "escais"-noun-oc
"escais"-noun-oc "sobrenombre"-noun-es
"e-mail"-noun-oc "e-mail"-noun-es
"e-mail"-noun-es "e-mail"-noun-oc
"engenhariá"-noun-oc "ingeniería"-noun-es
"ingeniería"-noun-es "engenhariá"-noun-oc
"agressor"-noun-oc "agresor"-noun-es
"agresor"-noun-es "agressor"-noun-oc
"cólera"-noun-es "colèra"-noun-oc
"colèra"-noun-oc "cólera"-noun-es
"aterriment"-noun-oc "aterrizaje"-noun-es
"aterrizaje"-noun-es "aterriment"-noun-oc
"cena"-noun-es "sopar"-noun-oc
"sopar"-noun-oc "cena"-noun-es
"llave"-noun-es "clau"-noun-oc
"clau"-noun-oc "llave"-noun-es
"cabina"-noun-oc "cabina"-noun-es
"cabina"-noun-es "cabina"-noun-oc
"cauquilha"-noun-oc "concha"-noun-es
"concha"-noun-es "cauquilha"-noun-oc
"canasta"-noun-es "banasta"-noun-oc
"banasta"-noun-oc "canasta"-noun-es
"banasta"-noun-oc "cesto"-noun-es
"cesto"-noun-es "banasta"-noun-oc
"visatge"-noun-oc "faz"-noun-es
"faz"-noun-es "visatge"-noun-oc
"ton"-noun-oc "tono"-noun-es
"tono"-noun-es "ton"-noun-oc
"portaire"-noun-oc "portador"-noun-es
"portador"-noun-es "portaire"-noun-oc
"afeccion"-noun-oc "afección"-noun-es
"afección"-noun-es "afeccion"-noun-oc
"pantano"-noun-es "palun"-noun-oc
"pantano"-noun-es "sanha"-noun-oc
"palun"-noun-oc "pantano"-noun-es
"palun"-noun-oc "marisma"-noun-es
"sanha"-noun-oc "pantano"-noun-es
"sanha"-noun-oc "marisma"-noun-es
"marisma"-noun-es "palun"-noun-oc
"marisma"-noun-es "sanha"-noun-oc
"sucursala"-noun-oc "sucursal"-noun-es
"sucursal"-noun-es "sucursala"-noun-oc
"advertencia"-noun-es "avertiment"-noun-oc
"avertiment"-noun-oc "advertencia"-noun-es
"revocacion"-noun-oc "revocación"-noun-es
