"cap de"-determiner-oc "ninguno"-determiner-es
"ninguno"-determiner-es "cap de"-determiner-oc
"conjuntamente"-adverb-es "conjonchament"-adverb-oc
"conjonchament"-adverb-oc "conjuntamente"-adverb-es
"rápidamente"-adverb-es "lèstament"-adverb-oc
"lèstament"-adverb-oc "rápidamente"-adverb-es
"lèstament"-adverb-oc "deprisa"-adverb-es
"deprisa"-adverb-es "lèstament"-adverb-oc
"puntualmente"-adverb-es "puntualament"-adverb-oc
"puntualament"-adverb-oc "puntualmente"-adverb-es
"sulcòp"-adverb-oc "inmediatamente"-adverb-es
"sulcòp"-adverb-oc "de inmediato"-adverb-es
"sulcòp"-adverb-oc "enseguida"-adverb-es
"inmediatamente"-adverb-es "sulcòp"-adverb-oc
"de inmediato"-adverb-es "sulcòp"-adverb-oc
"enseguida"-adverb-es "sulcòp"-adverb-oc
"nuevamente"-adverb-es "tornarmai"-adverb-oc
"tornarmai"-adverb-oc "nuevamente"-adverb-es
"aproximadamente"-adverb-es "a pauc près"-adverb-oc
"a pauc près"-adverb-oc "aproximadamente"-adverb-es
"cuál"-pronoun-es "quau"-pronoun-oc
"quau"-pronoun-oc "cuál"-pronoun-es
"que"-relativePronoun-es "qui"-pronoun-oc
"qui"-pronoun-oc "que"-relativePronoun-es
"el que"-relativePronoun-es "lo que"-noun-oc
"el que"-relativePronoun-es "lo qui"-relativePronoun-oc
"el que"-relativePronoun-es "lo qui"-noun-oc
"el que"-relativePronoun-es "lo que"-relativePronoun-oc
"el que"-relativePronoun-es "aquel qui"-relativePronoun-oc
"el que"-relativePronoun-es "aquel qui"-noun-oc
"el que"-relativePronoun-es "aquel que"-relativePronoun-oc
"lo que"-noun-oc "el que"-relativePronoun-es
"lo qui"-relativePronoun-oc "el que"-relativePronoun-es
"lo qui"-noun-oc "el que"-relativePronoun-es
"lo que"-relativePronoun-oc "el que"-relativePronoun-es
"aquel qui"-relativePronoun-oc "el que"-relativePronoun-es
"aquel qui"-noun-oc "el que"-relativePronoun-es
"aquel que"-relativePronoun-oc "el que"-relativePronoun-es
"aiceste"-pronoun-oc "éste"-pronoun-es
"aiceste"-pronoun-oc "este"-pronoun-es
"éste"-pronoun-es "aiceste"-pronoun-oc
"este"-pronoun-es "aiceste"-pronoun-oc
"por medio de"-preposition-es "pel mejan de"-preposition-oc
"pel mejan de"-preposition-oc "por medio de"-preposition-es
"debido a"-preposition-es "en rason de"-preposition-oc
"en rason de"-preposition-oc "debido a"-preposition-es
"lecariá"-noun-oc "golosina"-noun-es
"golosina"-noun-es "lecariá"-noun-oc
"còde"-noun-oc "código"-noun-es
"código"-noun-es "còde"-noun-oc
"hilo"-noun-es "fial"-noun-oc
"fial"-noun-oc "hilo"-noun-es
"teta"-noun-oc "mama"-noun-es
"mama"-noun-es "teta"-noun-oc
"reserva"-noun-es "reservacion"-noun-oc
"reservacion"-noun-oc "reserva"-noun-es
"abuelo"-noun-es "grand"-noun-oc
"grand"-noun-oc "abuelo"-noun-es
"nafra"-noun-oc "herida"-noun-es
"herida"-noun-es "nafra"-noun-oc
"camino"-noun-es "carral"-noun-oc
"carral"-noun-oc "camino"-noun-es
"carral"-noun-oc "vía"-noun-es
"vía"-noun-es "carral"-noun-oc
"banasta"-noun-oc "cesta"-noun-es
"cesta"-noun-es "banasta"-noun-oc
"cuerpo"-noun-es "còrs"-noun-oc
"còrs"-noun-oc "cuerpo"-noun-es
"cara"-noun-es "visatge"-noun-oc
"visatge"-noun-oc "cara"-noun-es
"visatge"-noun-oc "rostro"-noun-es
"rostro"-noun-es "visatge"-noun-oc
"comuna"-noun-oc "ayuntamiento"-noun-es
"comuna"-noun-oc "alcaldía"-noun-es
"ayuntamiento"-noun-es "comuna"-noun-oc
"alcaldía"-noun-es "comuna"-noun-oc
"placard"-noun-oc "cartel"-noun-es
"cartel"-noun-es "placard"-noun-oc
"manera"-noun-es "mòde"-noun-oc
"mòde"-noun-oc "manera"-noun-es
"grada"-noun-es "degrà"-noun-oc
"degrà"-noun-oc "grada"-noun-es
"sitio"-noun-es "endreit"-noun-oc
"sitio"-noun-es "endrech"-noun-oc
"endreit"-noun-oc "sitio"-noun-es
"endrech"-noun-oc "sitio"-noun-es
"tub"-noun-oc "tubo"-noun-es
"tubo"-noun-es "tub"-noun-oc
