"en cuanto"-relativePronoun-es "quan"-relativePronoun-oc
"quan"-relativePronoun-oc "en cuanto"-relativePronoun-es
"mès d'ua causa"-noun-oc "más de una causa"-noun-es
"más de una causa"-noun-es "mès d'ua causa"-noun-oc
"más de una causa"-noun-es "mantuna causa"-noun-oc
"mantuna causa"-noun-oc "más de una causa"-noun-es
"Aiguamòg"-properNoun-oc "Aiguamòg"-properNoun-es
"Aiguamòg"-properNoun-es "Aiguamòg"-properNoun-oc
"Aransalut"-properNoun-oc "Aransalut"-properNoun-es
"Aransalut"-properNoun-es "Aransalut"-properNoun-oc
"Artiga de Lin"-properNoun-oc "Artiga de Lin"-properNoun-es
"Artiga de Lin"-properNoun-es "Artiga de Lin"-properNoun-oc
"Aussau"-properNoun-oc "Aussau"-properNoun-es
"Aussau"-properNoun-es "Aussau"-properNoun-oc
"Autan"-properNoun-oc "Autan"-properNoun-es
"Autan"-properNoun-es "Autan"-properNoun-oc
"Baricauba"-properNoun-oc "Baricauba"-properNoun-es
"Baricauba"-properNoun-es "Baricauba"-properNoun-oc
"Bracs"-properNoun-oc "Bracs"-properNoun-es
"Bracs"-properNoun-es "Bracs"-properNoun-oc
"Brauli"-properNoun-oc "Brauli"-properNoun-es
"Brauli"-properNoun-es "Brauli"-properNoun-oc
"Bòssost"-properNoun-oc "Bòssost"-properNoun-es
"Bòssost"-properNoun-es "Bòssost"-properNoun-oc
"Calandreta"-properNoun-oc "Calandreta"-properNoun-es
"Calandreta"-properNoun-es "Calandreta"-properNoun-oc
"Campània"-properNoun-oc "Campania"-properNoun-es
"Campania"-properNoun-es "Campània"-properNoun-oc
"Castièro"-properNoun-oc "Castièro"-properNoun-es
"Castièro"-properNoun-es "Castièro"-properNoun-oc
"Cinto"-properNoun-oc "Cinto"-properNoun-es
"Cinto"-properNoun-es "Cinto"-properNoun-oc
"Cleveland"-properNoun-oc "Cleveland"-properNoun-es
"Cleveland"-properNoun-es "Cleveland"-properNoun-oc
"Conangles"-properNoun-oc "Conangles"-properNoun-es
"Conangles"-properNoun-es "Conangles"-properNoun-oc
"Corbilhuèrs"-properNoun-oc "Corbilhuèrs"-properNoun-es
"Corbilhuèrs"-properNoun-es "Corbilhuèrs"-properNoun-oc
"Corilha"-properNoun-oc "Corilha"-properNoun-es
"Corilha"-properNoun-es "Corilha"-properNoun-oc
"Correcaminos"-properNoun-oc "Correcaminos"-properNoun-es
"Correcaminos"-properNoun-es "Correcaminos"-properNoun-oc
"Coyote"-properNoun-oc "Coyote"-properNoun-es
"Coyote"-properNoun-es "Coyote"-properNoun-oc
"Fecsa-Endesa"-properNoun-oc "Fecsa-Endesa"-properNoun-es
"Fecsa-Endesa"-properNoun-es "Fecsa-Endesa"-properNoun-oc
"Garòs"-properNoun-oc "Garós"-properNoun-es
"Garós"-properNoun-es "Garòs"-properNoun-oc
"Juande"-properNoun-oc "Juande"-properNoun-es
"Juande"-properNoun-es "Juande"-properNoun-oc
"Ildefons"-properNoun-oc "Ildefonso"-properNoun-es
"Ildefonso"-properNoun-es "Ildefons"-properNoun-oc
"Iñaqui"-properNoun-oc "Iñaqui"-properNoun-es
