"quand"-relativePronoun-oc "en cuanto"-relativePronoun-es
"en cuanto"-relativePronoun-es "quand"-relativePronoun-oc
"a l'escasença de"-preposition-oc "con motivo de"-preposition-es
"con motivo de"-preposition-es "a l'escasença de"-preposition-oc
"en çò que fa a"-preposition-oc "en relación con"-preposition-es
"en relación con"-preposition-es "en çò que fa a"-preposition-oc
"près de"-preposition-oc "a orillas de"-preposition-es
"a orillas de"-preposition-es "près de"-preposition-oc
"quau"-adjective-oc "que"-adjective-es
"que"-adjective-es "quau"-adjective-oc
"cent"-numeral-oc "ciento"-numeral-es
"ciento"-numeral-es "cent"-numeral-oc
"Jacme"-properNoun-oc "Jacme"-properNoun-es
"Jacme"-properNoun-es "Jacme"-properNoun-oc
"Josèp"-properNoun-oc "Josèp"-properNoun-es
"Josèp"-properNoun-es "Josèp"-properNoun-oc
"Jusèp"-properNoun-oc "Jusèp"-properNoun-es
"Jusèp"-properNoun-es "Jusèp"-properNoun-oc
"Pèire"-properNoun-oc "Pèire"-properNoun-es
"Pèire"-properNoun-es "Pèire"-properNoun-oc
"Fontan"-properNoun-oc "Fontan"-properNoun-es
"Fontan"-properNoun-es "Fontan"-properNoun-oc
"Fontan"-properNoun-es "Fontan"-noun-oc
"Fontan"-noun-oc "Fontan"-properNoun-es
"Mistral"-properNoun-oc "Mistral"-properNoun-es
"Mistral"-properNoun-es "Mistral"-properNoun-oc
"Mistral"-properNoun-es "Mistral"-noun-oc
"Mistral"-noun-oc "Mistral"-properNoun-es
"Lengadòc"-properNoun-oc "Languedoc"-properNoun-es
"Languedoc"-properNoun-es "Lengadòc"-properNoun-oc
"Languedoc"-properNoun-es "Languadòc"-properNoun-oc
"Languadòc"-properNoun-oc "Languedoc"-properNoun-es
"agave"-noun-oc "pita"-noun-es
"pita"-noun-es "agave"-noun-oc
"bagatge"-noun-oc "bagaje"-noun-es
"bagaje"-noun-es "bagatge"-noun-oc
"can"-noun-oc "ka"-noun-es
"ka"-noun-es "can"-noun-oc
"ka"-noun-es "gosset"-noun-oc
"gosset"-noun-oc "ka"-noun-es
"fibrociment"-noun-oc "fibrocemento"-noun-es
"fibrocemento"-noun-es "fibrociment"-noun-oc
"linhatge"-noun-oc "alcurnia"-noun-es
"alcurnia"-noun-es "linhatge"-noun-oc
"plafon"-noun-oc "plafón"-noun-es
"plafón"-noun-es "plafon"-noun-oc
"recipient"-noun-oc "cacharro"-noun-es
"cacharro"-noun-es "recipient"-noun-oc
"cacharro"-noun-es "dorneta"-noun-oc
"cacharro"-noun-es "sancha"-noun-oc
"dorneta"-noun-oc "cacharro"-noun-es
"sancha"-noun-oc "cacharro"-noun-es
"vilatge"-noun-oc "villaje"-noun-es
"villaje"-noun-es "vilatge"-noun-oc
"incivisme"-noun-oc "incivismo"-noun-es
"incivismo"-noun-es "incivisme"-noun-oc
"termalisme"-noun-oc "termalismo"-noun-es
"termalismo"-noun-es "termalisme"-noun-oc
"excursionista"-noun-oc "excursionista"-noun-es
"excursionista"-noun-es "excursionista"-noun-oc
"blancor"-noun-oc "blancor"-noun-es
"blancor"-noun-es "blancor"-noun-oc
"revision"-noun-oc "repaso"-noun-es
"repaso"-noun-es "revision"-noun-oc
"comparason"-noun-oc "equiparación"-noun-es
"equiparación"-noun-es "comparason"-noun-oc
"equiparación"-noun-es "equiparacion"-noun-oc
"equiparacion"-noun-oc "equiparación"-noun-es
"normativizacion"-noun-oc "normativización"-noun-es
"normativización"-noun-es "normativizacion"-noun-oc
"simplicitat"-noun-oc "llaneza"-noun-es
"llaneza"-noun-es "simplicitat"-noun-oc
"abitud"-noun-oc "habitud"-noun-es
"habitud"-noun-es "abitud"-noun-oc
"caneladura"-noun-oc "canalera"-noun-es
"canalera"-noun-es "caneladura"-noun-oc
"causida"-noun-oc "tría"-noun-es
"tría"-noun-es "causida"-noun-oc
"marieta"-noun-oc "maricón"-noun-es
"maricón"-noun-es "marieta"-noun-oc
"mora"-noun-oc "molla"-noun-es
"molla"-noun-es "mora"-noun-oc
"punta"-noun-oc "puntilla"-noun-es
