"l"-noun-oc "l"-noun-es
"l"-noun-es "l"-noun-oc
"ne"-adverb-oc "ni siquiera"-adverb-es
"ni siquiera"-adverb-es "ne"-adverb-oc
"ni siquiera"-adverb-es "quitament pas"-adverb-oc
"quitament pas"-adverb-oc "ni siquiera"-adverb-es
"pero"-coordinatingConjunction-es "mès"-coordinatingConjunction-oc
"mès"-coordinatingConjunction-oc "pero"-coordinatingConjunction-es
"mès"-coordinatingConjunction-oc "sino"-coordinatingConjunction-es
"sino"-coordinatingConjunction-es "mès"-coordinatingConjunction-oc
"sino"-coordinatingConjunction-es "senon"-coordinatingConjunction-oc
"sino"-coordinatingConjunction-es "siquenon"-coordinatingConjunction-oc
"senon"-coordinatingConjunction-oc "sino"-coordinatingConjunction-es
"siquenon"-coordinatingConjunction-oc "sino"-coordinatingConjunction-es
"ni"-coordinatingConjunction-es "ne"-coordinatingConjunction-oc
"ne"-coordinatingConjunction-oc "ni"-coordinatingConjunction-es
"o"-coordinatingConjunction-oc "o"-coordinatingConjunction-es
"o"-coordinatingConjunction-es "o"-coordinatingConjunction-oc
"que"-subordinatingConjunction-oc "que"-subordinatingConjunction-es
"que"-subordinatingConjunction-oc "de que"-subordinatingConjunction-es
"que"-subordinatingConjunction-es "que"-subordinatingConjunction-oc
"de que"-subordinatingConjunction-es "que"-subordinatingConjunction-oc
"quand"-relativePronoun-oc "cuando"-relativePronoun-es
"cuando"-relativePronoun-es "quand"-relativePronoun-oc
"alrededor"-adverb-es "ath torn"-adverb-oc
"ath torn"-adverb-oc "alrededor"-adverb-es
"a"-preposition-oc "a"-preposition-es
"a"-preposition-es "a"-preposition-oc
"de"-preposition-oc "de"-preposition-es
"de"-preposition-es "de"-preposition-oc
"a cargue de"-preposition-oc "a cargo de"-preposition-es
"a cargo de"-preposition-es "a cargue de"-preposition-oc
"a pesar de"-preposition-es "a despiet"-preposition-oc
"a pesar de"-preposition-es "a malgrat"-preposition-oc
"a pesar de"-preposition-es "a maugrat"-preposition-oc
"a pesar de"-preposition-es "malgrat de"-preposition-oc
"a pesar de"-preposition-es "maugrat de"-preposition-oc
"a despiet"-preposition-oc "a pesar de"-preposition-es
"a malgrat"-preposition-oc "a pesar de"-preposition-es
"a maugrat"-preposition-oc "a pesar de"-preposition-es
"malgrat de"-preposition-oc "a pesar de"-preposition-es
"maugrat de"-preposition-oc "a pesar de"-preposition-es
"a la demanda de"-preposition-oc "a petición de"-preposition-es
"a petición de"-preposition-es "a la demanda de"-preposition-oc
"a petición de"-preposition-es "a peticion de"-preposition-oc
"a peticion de"-preposition-oc "a petición de"-preposition-es
"al lòc de"-preposition-oc "en lugar de"-preposition-es
"en lugar de"-preposition-es "al lòc de"-preposition-oc
