"quelque"-determiner-fr "qualque"-determiner-oc
"qualque"-determiner-oc "quelque"-determiner-fr
"certain"-determiner-fr "certan"-determiner-oc
"certain"-determiner-fr "cèrt"-determiner-oc
"certan"-determiner-oc "certain"-determiner-fr
"cèrt"-determiner-oc "certain"-determiner-fr
"le"-determiner-fr "lo"-determiner-oc
"le"-determiner-fr "eth"-determiner-oc
"lo"-determiner-oc "le"-determiner-fr
"eth"-determiner-oc "le"-determiner-fr
"ce"-determiner-fr "aqueth"-determiner-oc
"ce"-determiner-fr "aquel"-determiner-oc
"ce"-determiner-fr "aqueste"-determiner-oc
"ce"-determiner-fr "aguest"-determiner-oc
"aqueth"-determiner-oc "ce"-determiner-fr
"aquel"-determiner-oc "ce"-determiner-fr
"aqueste"-determiner-oc "ce"-determiner-fr
"aguest"-determiner-oc "ce"-determiner-fr
"librement"-adverb-fr "liurament"-adverb-oc
"liurament"-adverb-oc "librement"-adverb-fr
"publiquement"-adverb-fr "publicament"-adverb-oc
"publicament"-adverb-oc "publiquement"-adverb-fr
"ouvertement"-adverb-fr "obèrtament"-adverb-oc
"ouvertement"-adverb-fr "dauridament"-adverb-oc
"obèrtament"-adverb-oc "ouvertement"-adverb-fr
"dauridament"-adverb-oc "ouvertement"-adverb-fr
"apparemment"-adverb-fr "aparentament"-adverb-oc
"aparentament"-adverb-oc "apparemment"-adverb-fr
"probablement"-adverb-fr "probablament"-adverb-oc
"probablament"-adverb-oc "probablement"-adverb-fr
"peut-être"-adverb-fr "dilhèu"-adverb-oc
"peut-être"-adverb-fr "benlèu"-adverb-oc
"dilhèu"-adverb-oc "peut-être"-adverb-fr
"benlèu"-adverb-oc "peut-être"-adverb-fr
"durement"-adverb-fr "durament"-adverb-oc
"durament"-adverb-oc "durement"-adverb-fr
"ath temps"-adverb-oc "à la fois"-adverb-fr
"à la fois"-adverb-fr "ath temps"-adverb-oc
"à la fois"-adverb-fr "ath madeish temps"-adverb-oc
"à la fois"-adverb-fr "ath còp"-adverb-oc
"à la fois"-adverb-fr "ath madeish viatge"-adverb-oc
"à la fois"-adverb-fr "a l'encòp"-adverb-oc
"ath madeish temps"-adverb-oc "à la fois"-adverb-fr
"ath còp"-adverb-oc "à la fois"-adverb-fr
"ath madeish viatge"-adverb-oc "à la fois"-adverb-fr
"a l'encòp"-adverb-oc "à la fois"-adverb-fr
"simultanément"-adverb-fr "simultanèament"-adverb-oc
"simultanèament"-adverb-oc "simultanément"-adverb-fr
"parallèlement"-adverb-fr "parallèlament"-adverb-oc
"parallèlament"-adverb-oc "parallèlement"-adverb-fr
"lentement"-adverb-fr "de nonent"-adverb-oc
"lentement"-adverb-fr "dapasset"-adverb-oc
"lentement"-adverb-fr "lentament"-adverb-oc
"de nonent"-adverb-oc "lentement"-adverb-fr
"dapasset"-adverb-oc "lentement"-adverb-fr
"lentament"-adverb-oc "lentement"-adverb-fr
"à part"-adverb-fr "a despart"-adverb-oc
"a despart"-adverb-oc "à part"-adverb-fr
"a pena"-adverb-oc "à peine"-adverb-fr
"à peine"-adverb-fr "a pena"-adverb-oc
"difficilement"-adverb-fr "dificilament"-adverb-oc
"dificilament"-adverb-oc "difficilement"-adverb-fr
"jamais"-adverb-fr "jamai"-adverb-oc
"jamai"-adverb-oc "jamais"-adverb-fr
"fondamentalement"-adverb-fr "fondamentalament"-adverb-oc
"fondamentalament"-adverb-oc "fondamentalement"-adverb-fr
"gravement"-adverb-fr "grèvament"-adverb-oc
"grèvament"-adverb-oc "gravement"-adverb-fr
"grèvament"-adverb-oc "grièvement"-adverb-fr
"grièvement"-adverb-fr "grèvament"-adverb-oc
"spécifiquement"-adverb-fr "especificament"-adverb-oc
"especificament"-adverb-oc "spécifiquement"-adverb-fr
"concrètement"-adverb-fr "concrètament"-adverb-oc
"concrètament"-adverb-oc "concrètement"-adverb-fr
"rarement"-adverb-fr "rarament"-adverb-oc
"rarament"-adverb-oc "rarement"-adverb-fr
"potentiellement"-adverb-fr "potencialament"-adverb-oc
"potencialament"-adverb-oc "potentiellement"-adverb-fr
"éventuellement"-adverb-fr "eventualament"-adverb-oc
"eventualament"-adverb-oc "éventuellement"-adverb-fr
"favorablement"-adverb-fr "favorablament"-adverb-oc
"favorablament"-adverb-oc "favorablement"-adverb-fr
"indépendamment"-adverb-fr "independentament"-adverb-oc
"independentament"-adverb-oc "indépendamment"-adverb-fr
"aquiu delà"-adverb-oc "là-bas"-adverb-fr
"là-bas"-adverb-fr "aquiu delà"-adverb-oc
"là-bas"-adverb-fr "alai"-adverb-oc
"là-bas"-adverb-fr "ailà"-adverb-oc
"alai"-adverb-oc "là-bas"-adverb-fr
"ailà"-adverb-oc "là-bas"-adverb-fr
"ailà"-adverb-oc "là"-adverb-fr
"là"-adverb-fr "ailà"-adverb-oc
"ici"-adverb-fr "aicí"-adverb-oc
"ici"-adverb-fr "aquí"-adverb-oc
"ici"-adverb-fr "aciu"-adverb-oc
"aicí"-adverb-oc "ici"-adverb-fr
"aicí"-adverb-oc "ci"-adverb-fr
"aquí"-adverb-oc "ici"-adverb-fr
"aciu"-adverb-oc "ici"-adverb-fr
