"supausadaments"-adverb-oc "soi-disant"-adverb-fr
"soi-disant"-adverb-fr "supausadaments"-adverb-oc
"pròplèuments"-adverb-oc "prochainement"-adverb-fr
"prochainement"-adverb-fr "pròplèuments"-adverb-oc
"prochainement"-adverb-fr "pròplèument"-adverb-oc
"pròplèument"-adverb-oc "prochainement"-adverb-fr
"peth maitin"-adverb-oc "le jour"-adverb-fr
"le jour"-adverb-fr "peth maitin"-adverb-oc
"dehòra"-adverb-oc "en dehors"-adverb-fr
"en dehors"-adverb-fr "dehòra"-adverb-oc
"depuis lors"-adverb-fr "a compdar d'alavetz"-adverb-oc
"depuis lors"-adverb-fr "a comptar d'alavetz"-adverb-oc
"a compdar d'alavetz"-adverb-oc "depuis lors"-adverb-fr
"a comptar d'alavetz"-adverb-oc "depuis lors"-adverb-fr
"degudament"-adverb-oc "dûment"-adverb-fr
"dûment"-adverb-fr "degudament"-adverb-oc
"dûment"-adverb-fr "degudaments"-adverb-oc
"degudaments"-adverb-oc "dûment"-adverb-fr
"detalhadaments"-adverb-oc "minutieusement"-adverb-fr
"minutieusement"-adverb-fr "detalhadaments"-adverb-oc
"minutieusement"-adverb-fr "detalhadament"-adverb-oc
"detalhadament"-adverb-oc "minutieusement"-adverb-fr
"carrément"-adverb-fr "francaments"-adverb-oc
"francaments"-adverb-oc "carrément"-adverb-fr
"aimablaments"-adverb-oc "aimablement"-adverb-fr
"aimablement"-adverb-fr "aimablaments"-adverb-oc
"aimablement"-adverb-fr "aimablament"-adverb-oc
"aimablament"-adverb-oc "aimablement"-adverb-fr
"simplaments"-adverb-oc "bonnement"-adverb-fr
"bonnement"-adverb-fr "simplaments"-adverb-oc
"recentaments"-adverb-oc "naguère"-adverb-fr
"naguère"-adverb-fr "recentaments"-adverb-oc
"apuprètz"-adverb-oc "approchant"-adverb-fr
"approchant"-adverb-fr "apuprètz"-adverb-oc
"approchant"-adverb-fr "aproximadaments"-adverb-oc
"aproximadaments"-adverb-oc "approchant"-adverb-fr
"coma"-relativePronoun-oc "comme"-relativePronoun-fr
"comme"-relativePronoun-fr "coma"-relativePronoun-oc
"totòm"-pronoun-oc "tout le monde"-pronoun-fr
"tout le monde"-pronoun-fr "totòm"-pronoun-oc
"tout le monde"-pronoun-fr "tota era gent"-pronoun-oc
"tout le monde"-pronoun-fr "tot lo monde"-pronoun-oc
"tout le monde"-pronoun-fr "tot lo mond"-pronoun-oc
"tout le monde"-pronoun-fr "tot lo mon"-pronoun-oc
"tota era gent"-pronoun-oc "tout le monde"-pronoun-fr
"tot lo monde"-pronoun-oc "tout le monde"-pronoun-fr
