"soi-disant"-adverb-fr "supausadament"-adverb-oc
"supausadament"-adverb-oc "soi-disant"-adverb-fr
"defòra"-adverb-oc "en dehors"-adverb-fr
"en dehors"-adverb-fr "defòra"-adverb-oc
"en dehors"-adverb-fr "fòra"-adverb-oc
"fòra"-adverb-oc "en dehors"-adverb-fr
"carrément"-adverb-fr "francament"-adverb-oc
"francament"-adverb-oc "carrément"-adverb-fr
"simplament"-adverb-oc "bonnement"-adverb-fr
"bonnement"-adverb-fr "simplament"-adverb-oc
"davant"-adverb-oc "au-devant"-adverb-fr
"au-devant"-adverb-fr "davant"-adverb-oc
"au-devant"-adverb-fr "deuant"-adverb-oc
"au-devant"-adverb-fr "dauant"-adverb-oc
"au-devant"-adverb-fr "devant"-adverb-oc
"deuant"-adverb-oc "au-devant"-adverb-fr
"dauant"-adverb-oc "au-devant"-adverb-fr
"devant"-adverb-oc "au-devant"-adverb-fr
"au-dessous"-adverb-fr "dejós"-adverb-oc
"au-dessous"-adverb-fr "jos"-adverb-oc
"dejós"-adverb-oc "au-dessous"-adverb-fr
"jos"-adverb-oc "au-dessous"-adverb-fr
"recentament"-adverb-oc "naguère"-adverb-fr
"naguère"-adverb-fr "recentament"-adverb-oc
"approchant"-adverb-fr "aproximadament"-adverb-oc
"approchant"-adverb-fr "aperaquí"-adverb-oc
"aproximadament"-adverb-oc "approchant"-adverb-fr
"aperaquí"-adverb-oc "approchant"-adverb-fr
"qué"-pronoun-oc "qu'est-ce que c'est que"-pronoun-fr
"qu'est-ce que c'est que"-pronoun-fr "qué"-pronoun-oc
"qual"-pronoun-oc "qui est-ce qui"-pronoun-fr
"qui est-ce qui"-pronoun-fr "qual"-pronoun-oc
"òm"-pronoun-oc "on"-reflexivePersonalPronoun-fr
"on"-reflexivePersonalPronoun-fr "òm"-pronoun-oc
"on"-reflexivePersonalPronoun-fr "se"-pronoun-oc
"se"-pronoun-oc "on"-reflexivePersonalPronoun-fr
"tout le monde"-pronoun-fr "tot"-pronoun-oc
"tot"-pronoun-oc "tout le monde"-pronoun-fr
"jos"-preposition-oc "au-dessous de"-preposition-fr
"au-dessous de"-preposition-fr "jos"-preposition-oc
"davant"-preposition-oc "au-devant de"-preposition-fr
"au-devant de"-preposition-fr "davant"-preposition-oc
"excellent"-adjective-oc "optimal"-adjective-fr
"optimal"-adjective-fr "excellent"-adjective-oc
"reflèxe"-noun-oc "reflet"-noun-fr
"reflet"-noun-fr "reflèxe"-noun-oc
"bóstia"-noun-oc "boîte aux lettres"-noun-fr
"boîte aux lettres"-noun-fr "bóstia"-noun-oc
"gravetat"-noun-oc "sérieux"-noun-fr
"sérieux"-noun-fr "gravetat"-noun-oc
"barbouze"-noun-fr "espion"-noun-oc
"espion"-noun-oc "barbouze"-noun-fr
"tricòt"-noun-oc "jersey"-noun-fr
"jersey"-noun-fr "tricòt"-noun-oc
"gril"-noun-fr "grasilha"-noun-oc
"grasilha"-noun-oc "gril"-noun-fr
"embrun"-noun-fr "nèbla"-noun-oc
"embrun"-noun-fr "bruma"-noun-oc
"nèbla"-noun-oc "embrun"-noun-fr
"bruma"-noun-oc "embrun"-noun-fr
"longitud"-noun-oc "long"-noun-fr
"long"-noun-fr "longitud"-noun-oc
"especulacion"-noun-oc "speculation"-noun-fr
"speculation"-noun-fr "especulacion"-noun-oc
"arròda"-noun-oc "étrave"-noun-fr
"étrave"-noun-fr "arròda"-noun-oc
"étrave"-noun-fr "ròda"-noun-oc
"ròda"-noun-oc "étrave"-noun-fr
"presentador"-noun-oc "montreur"-noun-fr
"montreur"-noun-fr "presentador"-noun-oc
"gendre"-noun-oc "beau-fils"-noun-fr
"beau-fils"-noun-fr "gendre"-noun-oc
"beau-fils"-noun-fr "ireua"-noun-oc
"ireua"-noun-oc "beau-fils"-noun-fr
"jòia"-noun-oc "allégresse"-noun-fr
"allégresse"-noun-fr "jòia"-noun-oc
"comissariat"-noun-oc "poste de police"-noun-fr
"poste de police"-noun-fr "comissariat"-noun-oc
"taxista"-noun-oc "chauffeur de taxi"-noun-fr
"chauffeur de taxi"-noun-fr "taxista"-noun-oc
"menaire"-noun-oc "chauffeur"-noun-fr
"chauffeur"-noun-fr "menaire"-noun-oc
"prononciament"-noun-oc "putsch"-noun-fr
"putsch"-noun-fr "prononciament"-noun-oc
"comonicacion"-noun-oc "comunication"-noun-fr
"comunication"-noun-fr "comonicacion"-noun-oc
"comunication"-noun-fr "comunicacion"-noun-oc
"comunicacion"-noun-oc "comunication"-noun-fr
"descripcion"-noun-oc "signalement"-noun-fr
"signalement"-noun-fr "descripcion"-noun-oc
"nom de familha"-noun-oc "nom de famille"-noun-fr
"nom de famille"-noun-fr "nom de familha"-noun-oc
"reduccion"-noun-oc "reduction"-noun-fr
"reduction"-noun-fr "reduccion"-noun-oc
"auditòri"-noun-oc "auditorie"-noun-fr
"auditorie"-noun-fr "auditòri"-noun-oc
"afront"-noun-oc "injure"-noun-fr
"injure"-noun-fr "afront"-noun-oc
"courtier"-noun-fr "correder"-noun-oc
"correder"-noun-oc "courtier"-noun-fr
"pòrc"-noun-oc "cochon"-noun-fr
"cochon"-noun-fr "pòrc"-noun-oc
"remplaçant"-noun-fr "substitut"-noun-oc
"substitut"-noun-oc "remplaçant"-noun-fr
"barraca"-noun-oc "cahute"-noun-fr
"cahute"-noun-fr "barraca"-noun-oc
"detencion"-noun-oc "detention"-noun-fr
"detention"-noun-fr "detencion"-noun-oc
"cambi"-noun-oc "saute"-noun-fr
"saute"-noun-fr "cambi"-noun-oc
"saute"-noun-fr "cambiament"-noun-oc
"cambiament"-noun-oc "saute"-noun-fr
"portièr"-noun-oc "portier"-noun-fr
"portier"-noun-fr "portièr"-noun-oc
"redaction"-noun-fr "redaccion"-noun-oc
"redaccion"-noun-oc "redaction"-noun-fr
"lòc"-noun-oc "post"-noun-fr
"post"-noun-fr "lòc"-noun-oc
"post"-noun-fr "luòc"-noun-oc
"luòc"-noun-oc "post"-noun-fr
"excès"-noun-oc "surcroît"-noun-fr
"excès"-noun-oc "outrance"-noun-fr
"surcroît"-noun-fr "excès"-noun-oc
"outrance"-noun-fr "excès"-noun-oc
"sen"-noun-oc "bon sens"-noun-fr
"bon sens"-noun-fr "sen"-noun-oc
"cadran"-noun-fr "esfèra"-noun-oc
"esfèra"-noun-oc "cadran"-noun-fr
"tiratge"-noun-oc "tirage au sort"-noun-fr
"tirage au sort"-noun-fr "tiratge"-noun-oc
"conselhièr"-noun-oc "conseiller municipal"-noun-fr
"conseiller municipal"-noun-fr "conselhièr"-noun-oc
"disposicion"-noun-oc "allant"-noun-fr
"allant"-noun-fr "disposicion"-noun-oc
"allant"-noun-fr "dispausicion"-noun-oc
"dispausicion"-noun-oc "allant"-noun-fr
"descenuda"-noun-oc "abaissement"-noun-fr
