"quelque"-determiner-fr "mantun"-determiner-oc
"mantun"-determiner-oc "quelque"-determiner-fr
"peut-être"-adverb-fr "possiblament"-adverb-oc
"possiblament"-adverb-oc "peut-être"-adverb-fr
"lentement"-adverb-fr "pauc a pauc"-adverb-oc
"pauc a pauc"-adverb-oc "lentement"-adverb-fr
"aquiu delà"-adverb-oc "là"-adverb-fr
"là"-adverb-fr "aquiu delà"-adverb-oc
"là"-adverb-fr "delà"-adverb-oc
"là"-adverb-fr "alai"-adverb-oc
"là-bas"-adverb-fr "delà"-adverb-oc
"delà"-adverb-oc "là"-adverb-fr
"delà"-adverb-oc "là-bas"-adverb-fr
"alai"-adverb-oc "là"-adverb-fr
"aquí"-adverb-oc "ci"-adverb-fr
"ci"-adverb-fr "aquí"-adverb-oc
"ci"-adverb-fr "aciu"-adverb-oc
"aciu"-adverb-oc "ci"-adverb-fr
"davantage"-adverb-fr "plus"-adverb-oc
"plus"-adverb-oc "davantage"-adverb-fr
"hors"-adverb-fr "defòra"-adverb-oc
"defòra"-adverb-oc "hors"-adverb-fr
"fòra"-adverb-oc "dehors"-adverb-fr
"dehors"-adverb-fr "fòra"-adverb-oc
"constamment"-adverb-fr "continualament"-adverb-oc
"continualament"-adverb-oc "constamment"-adverb-fr
"tout d'abord"-adverb-fr "primièrament"-adverb-oc
"primièrament"-adverb-oc "tout d'abord"-adverb-fr
"quotidiennement"-adverb-fr "jornalièrament"-adverb-oc
"jornalièrament"-adverb-oc "quotidiennement"-adverb-fr
"conjointement"-adverb-fr "amassa"-adverb-oc
"amassa"-adverb-oc "conjointement"-adverb-fr
"aisément"-adverb-fr "facilament"-adverb-oc
"facilament"-adverb-oc "aisément"-adverb-fr
"complètement"-adverb-fr "entièrament"-adverb-oc
"entièrament"-adverb-oc "complètement"-adverb-fr
"assez"-adverb-fr "fòrça"-adverb-oc
"fòrça"-adverb-oc "assez"-adverb-fr
"fòrça"-adverb-oc "suffisamment"-adverb-fr
"pro"-adverb-oc "suffisamment"-adverb-fr
"suffisamment"-adverb-fr "fòrça"-adverb-oc
"suffisamment"-adverb-fr "pro"-adverb-oc
"promptement"-adverb-fr "rapidament"-adverb-oc
"rapidament"-adverb-oc "promptement"-adverb-fr
"rapidament"-adverb-oc "vite"-adverb-fr
"vite"-adverb-fr "rapidament"-adverb-oc
"guaire"-adverb-oc "beaucoup"-adverb-fr
"beaucoup"-adverb-fr "guaire"-adverb-oc
"beaucoup"-adverb-fr "gaire"-adverb-oc
"gaire"-adverb-oc "beaucoup"-adverb-fr
"sustot"-adverb-oc "notamment"-adverb-fr
"notamment"-adverb-fr "sustot"-adverb-oc
"notamment"-adverb-fr "mai que mai"-adverb-oc
"mai que mai"-adverb-oc "notamment"-adverb-fr
"mai que mai"-adverb-oc "spécialement"-adverb-fr
"spécialement"-adverb-fr "mai que mai"-adverb-oc
"puèi"-adverb-oc "après"-adverb-fr
"puèi"-adverb-oc "tantôt"-adverb-fr
"après"-adverb-fr "puèi"-adverb-oc
"après"-adverb-fr "avant"-adverb-oc
"tantôt"-adverb-fr "puèi"-adverb-oc
"tantôt"-adverb-fr "avant"-adverb-oc
"tantôt"-adverb-fr "despús"-adverb-oc
"tantôt"-adverb-fr "aprèp"-adverb-oc
"tantôt"-adverb-fr "après"-adverb-oc
"avant"-adverb-oc "après"-adverb-fr
"avant"-adverb-oc "tantôt"-adverb-fr
"avant"-adverb-oc "ensuite"-adverb-fr
"despús"-adverb-oc "tantôt"-adverb-fr
"despús"-adverb-oc "ensuite"-adverb-fr
"aprèp"-adverb-oc "tantôt"-adverb-fr
"aprèp"-adverb-oc "ensuite"-adverb-fr
"après"-adverb-oc "tantôt"-adverb-fr
"après"-adverb-oc "ensuite"-adverb-fr
"ensuite"-adverb-fr "avant"-adverb-oc
"ensuite"-adverb-fr "despús"-adverb-oc
"ensuite"-adverb-fr "aprèp"-adverb-oc
"ensuite"-adverb-fr "après"-adverb-oc
"sulpic"-adverb-oc "aussitôt"-adverb-fr
"aussitôt"-adverb-fr "sulpic"-adverb-oc
"aussitôt"-adverb-fr "totara"-adverb-oc
"totara"-adverb-oc "aussitôt"-adverb-fr
"avant"-adverb-fr "anteriorament"-adverb-oc
"anteriorament"-adverb-oc "avant"-adverb-fr
"abantes"-adverb-oc "auparavant"-adverb-fr
"auparavant"-adverb-fr "abantes"-adverb-oc
"auparavant"-adverb-fr "abans"-adverb-oc
"abans"-adverb-oc "auparavant"-adverb-fr
"dejós"-adverb-oc "en dessous"-adverb-fr
"en dessous"-adverb-fr "dejós"-adverb-oc
"en dessous"-adverb-fr "jos"-adverb-oc
"jos"-adverb-oc "en dessous"-adverb-fr
"en bas"-adverb-fr "enjós"-adverb-oc
"enjós"-adverb-oc "en bas"-adverb-fr
"d'una autra faiçon"-adverb-oc "par ailleurs"-adverb-fr
"par ailleurs"-adverb-fr "d'una autra faiçon"-adverb-oc
"par ailleurs"-adverb-fr "d'ua auta faiçon"-adverb-oc
"par ailleurs"-adverb-fr "d'autra banda"-adverb-oc
"d'ua auta faiçon"-adverb-oc "par ailleurs"-adverb-fr
"d'autra banda"-adverb-oc "par ailleurs"-adverb-fr
"extrèmament"-adverb-oc "hautement"-adverb-fr
"hautement"-adverb-fr "extrèmament"-adverb-oc
"derrière"-adverb-fr "enrè"-adverb-oc
"enrè"-adverb-oc "derrière"-adverb-fr
"réellement"-adverb-fr "vertadièrament"-adverb-oc
"vertadièrament"-adverb-oc "réellement"-adverb-fr
"vertadièrament"-adverb-oc "véritablement"-adverb-fr
"véritablement"-adverb-fr "vertadièrament"-adverb-oc
"finalement"-adverb-fr "enfin"-adverb-oc
"enfin"-adverb-oc "finalement"-adverb-fr
"enfin"-adverb-fr "finalament"-adverb-oc
"enfin"-adverb-fr "fin finala"-adverb-oc
"finalament"-adverb-oc "enfin"-adverb-fr
"fin finala"-adverb-oc "enfin"-adverb-fr
"dernièrement"-adverb-fr "ultimament"-adverb-oc
"ultimament"-adverb-oc "dernièrement"-adverb-fr
"quelque"-adverb-fr "aproximadament"-adverb-oc
"quelque"-adverb-fr "aperaquí"-adverb-oc
"aproximadament"-adverb-oc "quelque"-adverb-fr
"aperaquí"-adverb-oc "quelque"-adverb-fr
"entièrement"-adverb-fr "totalament"-adverb-oc
"totalament"-adverb-oc "entièrement"-adverb-fr
"certainement"-adverb-fr "segurament"-adverb-oc
"segurament"-adverb-oc "certainement"-adverb-fr
"justement"-adverb-fr "precisament"-adverb-oc
"precisament"-adverb-oc "justement"-adverb-fr
"justament"-adverb-oc "précisément"-adverb-fr
"précisément"-adverb-fr "justament"-adverb-oc
"leur"-determiner-fr "lo sieu"-determiner-oc
"leur"-determiner-fr "son"-determiner-oc
"lo sieu"-determiner-oc "leur"-determiner-fr
"son"-determiner-oc "leur"-determiner-fr
"son"-determiner-fr "lor"-determiner-oc
"lor"-determiner-oc "son"-determiner-fr
"çò"-pronoun-oc "ceci"-pronoun-fr
"çò"-pronoun-oc "ça"-pronoun-fr
"ceci"-pronoun-fr "çò"-pronoun-oc
"ça"-pronoun-fr "çò"-pronoun-oc
"celui-là"-pronoun-fr "aqueste"-pronoun-oc
"celui-là"-pronoun-fr "aguest"-pronoun-oc
"celui-là"-pronoun-fr "aqueth"-pronoun-oc
"aqueste"-pronoun-oc "celui-là"-pronoun-fr
"aguest"-pronoun-oc "celui-là"-pronoun-fr
"aqueth"-pronoun-oc "celui-là"-pronoun-fr
"aqueth"-pronoun-oc "celui"-pronoun-fr
