"qué que ne siá"-adverb-oc "quoi qu'il en soit"-adverb-fr
"quoi qu'il en soit"-adverb-fr "qué que ne siá"-adverb-oc
"a còps de"-preposition-oc "à coup de"-preposition-fr
"à coup de"-preposition-fr "a còps de"-preposition-oc
"a dicha que"-preposition-oc "au fur et à mesure que"-preposition-fr
"au fur et à mesure que"-preposition-fr "a dicha que"-preposition-oc
"a grands renfòrts de"-preposition-oc "à grand renfort de"-preposition-fr
"à grand renfort de"-preposition-fr "a grands renfòrts de"-preposition-oc
"à grand renfort de"-preposition-fr "a grands refòrts de"-preposition-oc
"a grands refòrts de"-preposition-oc "à grand renfort de"-preposition-fr
"a rasís de"-preposition-oc "tout près de"-preposition-fr
"tout près de"-preposition-fr "a rasís de"-preposition-oc
"a l'entorn de"-preposition-oc "à l'entour de"-preposition-fr
"à l'entour de"-preposition-fr "a l'entorn de"-preposition-oc
"a l'espròva de"-preposition-oc "à l'épreuve de"-preposition-fr
"à l'épreuve de"-preposition-fr "a l'espròva de"-preposition-oc
"à l'épreuve de"-preposition-fr "a la pròva de"-preposition-oc
"à l'épreuve de"-preposition-fr "a espròva de"-preposition-oc
"a la pròva de"-preposition-oc "à l'épreuve de"-preposition-fr
"a espròva de"-preposition-oc "à l'épreuve de"-preposition-fr
"a l'exemple de"-preposition-oc "à l'exemple de"-preposition-fr
"à l'exemple de"-preposition-fr "a l'exemple de"-preposition-oc
"a l'imitacion de"-preposition-oc "à l'imitation de"-preposition-fr
"à l'imitation de"-preposition-fr "a l'imitacion de"-preposition-oc
"a l'ombra de"-preposition-oc "à l'ombre de"-preposition-fr
"à l'ombre de"-preposition-fr "a l'ombra de"-preposition-oc
"a l'opausat de"-preposition-oc "à l'opposé de"-preposition-fr
"à l'opposé de"-preposition-fr "a l'opausat de"-preposition-oc
"à l'opposé de"-preposition-fr "a la diferéncia de"-preposition-oc
"a la diferéncia de"-preposition-oc "à l'opposé de"-preposition-fr
"a la requèsta de"-preposition-oc "à la requête de"-preposition-fr
"a la requèsta de"-preposition-oc "sur la requête de"-preposition-fr
"à la requête de"-preposition-fr "a la requèsta de"-preposition-oc
"sur la requête de"-preposition-fr "a la requèsta de"-preposition-oc
"a las pòrtas de"-preposition-oc "aux portes de"-preposition-fr
"aux portes de"-preposition-fr "a las pòrtas de"-preposition-oc
"al lum de"-preposition-oc "à la lumière de"-preposition-fr
"à la lumière de"-preposition-fr "al lum de"-preposition-oc
"à la lumière de"-preposition-fr "au lum de"-preposition-oc
"au lum de"-preposition-oc "à la lumière de"-preposition-fr
"al revèrs de"-preposition-oc "à rebours de"-preposition-fr
"à rebours de"-preposition-fr "al revèrs de"-preposition-oc
"al risc de"-preposition-oc "au risque de"-preposition-fr
"au risque de"-preposition-fr "al risc de"-preposition-oc
"au risque de"-preposition-fr "au risc de"-preposition-oc
"au risc de"-preposition-oc "au risque de"-preposition-fr
"al despens de"-preposition-oc "aux dépens de"-preposition-fr
"al despens de"-preposition-oc "au dépens de"-preposition-fr
"aux dépens de"-preposition-fr "al despens de"-preposition-oc
"aux dépens de"-preposition-fr "au despens de"-preposition-oc
"au dépens de"-preposition-fr "al despens de"-preposition-oc
"au despens de"-preposition-oc "aux dépens de"-preposition-fr
"al nivèl de"-preposition-oc "au niveau de"-preposition-fr
"au niveau de"-preposition-fr "al nivèl de"-preposition-oc
"a l'intencion de"-preposition-oc "à l'adresse de"-preposition-fr
"à l'adresse de"-preposition-fr "a l'intencion de"-preposition-oc
"a la vista de"-preposition-oc "à la vue de"-preposition-fr
"à la vue de"-preposition-fr "a la vista de"-preposition-oc
"en respècte de"-preposition-oc "eu égard à"-preposition-fr
"eu égard à"-preposition-fr "en respècte de"-preposition-oc
"eu égard à"-preposition-fr "en consideracion de"-preposition-oc
"en consideracion de"-preposition-oc "eu égard à"-preposition-fr
"amb l'intencion de"-preposition-oc "dans l'intention de"-preposition-fr
"amb l'intencion de"-preposition-oc "avec l'intention de"-preposition-fr
"amb l'intencion de"-preposition-oc "à dessein de"-preposition-fr
"dans l'intention de"-preposition-fr "amb l'intencion de"-preposition-oc
"avec l'intention de"-preposition-fr "amb l'intencion de"-preposition-oc
